Year	Date	Temperature(F)
1981	0831	89.1
1982	0801	93.0
1982	0802	87.1
1982	0803	90.0
1982	0804	89.1
1982	0805	90.0
1982	0806	89.1
1982	0807	93.0
1982	0808	91.9
1982	0809	91.9
1982	0810	90.0
1982	0811	91.0
1982	0812	90.0
1982	0813	89.1
1982	0814	90.0
1982	0815	89.1
1982	0816	91.9
1982	0817	90.0
1982	0818	77.0
1982	0819	81.0
1982	0820	89.1
1982	0821	89.1
1982	0822	91.0
1982	0823	89.1
1982	0824	91.9
1982	0825	91.9
1982	0826	95.0
1982	0827	90.0
1982	0828	93.0
1982	0829	90.0
1982	0830	84.9
1982	0831	88.0
1983	0801	91.0
1983	0802	90.0
1983	0803	91.0
1983	0804	91.0
1983	0805	90.0
1983	0806	89.1
1983	0807	89.1
1983	0808	91.0
1983	0809	91.9
1983	0810	90.0
1983	0811	87.1
1983	0812	87.1
1983	0813	89.1
1983	0814	84.9
1983	0815	89.1
1983	0816	90.0
1983	0817	89.1
1983	0818	93.0
1983	0819	95.0
1983	0820	96.1
1983	0821	96.1
1983	0822	96.1
1983	0823	93.9
1983	0824	93.9
1983	0825	89.1
1983	0826	95.0
1983	0827	95.0
1983	0828	97.0
1983	0829	93.9
1983	0830	95.0
1983	0831	91.9
1984	0801	91.0
1984	0802	91.0
1984	0803	90.0
1984	0804	93.0
1984	0805	93.0
1984	0806	96.1
1984	0807	95.0
1984	0808	95.0
1984	0809	91.9
1984	0810	93.9
1984	0811	93.9
1984	0812	93.0
1984	0813	91.0
1984	0814	93.0
1984	0815	96.1
1984	0816	95.0
1984	0817	95.0
1984	0818	90.0
1984	0819	88.0
1984	0820	84.9
1984	0821	82.0
1984	0822	86.0
1984	0823	78.1
1984	0824	90.0
1984	0825	91.9
1984	0826	87.1
1984	0827	87.1
1984	0828	88.0
1984	0829	90.0
1984	0830	89.1
1984	0831	93.0
1985	0801	89.1
1985	0802	89.1
1985	0803	82.9
1985	0804	84.9
1985	0805	91.0
1985	0806	90.0
1985	0807	89.1
1985	0808	82.0
1985	0809	86.0
1985	0810	86.0
1985	0811	87.1
1985	0812	90.0
1985	0813	88.0
1985	0814	86.0
1985	0815	89.1
1985	0816	91.9
1985	0817	90.0
1985	0818	90.0
1985	0819	91.9
1985	0820	88.0
1985	0821	82.9
1985	0822	91.0
1985	0823	91.0
1985	0824	90.0
1985	0825	84.0
1985	0826	93.0
1985	0827	82.9
1985	0828	88.0
1985	0829	87.1
1985	0830	87.1
1985	0831	77.0
1986	0801	98.1
1986	0802	91.9
1986	0803	88.0
1986	0804	88.0
1986	0805	90.0
1986	0806	91.0
1986	0807	91.0
1986	0808	91.0
1986	0809	91.9
1986	0810	93.9
1986	0811	88.0
1986	0812	87.1
1986	0813	82.9
1986	0814	79.0
1986	0815	86.0
1986	0816	89.1
1986	0817	93.0
1986	0818	90.0
1986	0819	90.0
1986	0820	82.9
1986	0821	88.0
1986	0822	91.0
1986	0823	91.9
1986	0824	93.0
1986	0825	93.9
1986	0826	91.0
1986	0827	91.0
1986	0828	84.0
1986	0829	75.0
1986	0830	88.0
1986	0831	81.0
1987	0801	91.0
1987	0802	91.0
1987	0803	90.0
1987	0804	91.9
1987	0805	91.0
1987	0806	95.0
1987	0807	95.0
1987	0808	95.0
1987	0809	97.0
1987	0810	95.0
1987	0811	96.1
1987	0812	91.0
1987	0813	86.0
1987	0814	82.0
1987	0815	80.1
1987	0816	88.0
1987	0817	93.0
1987	0818	93.0
1987	0819	91.9
1987	0820	93.0
1987	0821	91.9
1987	0822	91.0
1987	0823	93.0
1987	0824	95.0
1987	0825	95.0
1987	0826	93.0
1987	0827	95.0
1987	0828	95.0
1987	0829	96.1
1987	0830	91.9
1987	0831	93.9
1988	0801	93.9
1988	0802	91.9
1988	0803	93.0
1988	0804	93.0
1988	0805	91.0
1988	0806	91.9
1988	0807	91.0
1988	0808	90.0
1988	0809	90.0
1988	0810	89.1
1988	0811	86.0
1988	0812	88.0
1988	0813	84.9
1988	0814	86.0
1988	0815	88.0
1988	0816	81.0
1988	0817	89.1
1988	0818	91.0
1988	0819	91.9
1988	0820	88.0
1988	0821	91.9
1988	0822	91.9
1988	0823	93.0
1988	0824	91.0
1988	0825	82.0
1988	0826	88.0
1988	0827	75.0
1988	0828	88.0
1988	0829	90.0
1988	0830	86.0
1988	0831	89.1
1989	0801	91.9
1989	0802	91.0
1989	0803	91.0
1989	0804	91.0
1989	0805	91.9
1989	0806	95.0
1989	0807	93.9
1989	0808	90.0
1989	0809	82.0
1989	0810	81.0
1989	0811	82.9
1989	0812	81.0
1989	0813	84.0
1989	0814	86.0
1989	0815	88.0
1989	0816	87.1
1989	0817	89.1
1989	0818	91.0
1989	0819	89.1
1989	0820	82.9
1989	0821	91.0
1989	0822	91.0
1989	0823	93.0
1989	0824	91.9
1989	0825	89.1
1989	0826	90.0
1989	0827	90.0
1989	0828	91.0
1989	0829	90.0
1989	0830	91.9
1989	0831	91.0
1990	0801	93.0
1990	0802	91.9
1990	0803	90.0
1990	0804	91.0
1990	0805	91.0
1990	0806	93.9
1990	0807	93.0
1990	0808	89.1
1990	0809	82.0
1990	0810	87.1
1990	0811	84.9
1990	0812	91.9
1990	0813	90.0
1990	0814	84.9
1990	0815	89.1
1990	0816	93.0
1990	0817	91.9
1990	0818	91.9
1990	0819	91.0
1990	0820	91.9
1990	0821	91.9
1990	0822	88.0
1990	0823	84.0
1990	0824	88.0
1990	0825	87.1
1990	0826	91.9
1990	0827	91.9
1990	0828	91.9
1990	0829	93.0
1990	0830	91.0
1990	0831	86.0
1991	0801	84.0
1991	0802	86.0
1991	0803	88.0
1991	0804	90.0
1991	0805	89.1
1991	0806	91.9
1991	0807	93.0
1991	0808	91.0
1991	0809	90.0
1991	0810	90.0
1991	0811	91.0
1991	0812	90.0
1991	0813	91.0
1991	0814	91.0
1991	0815	86.0
1991	0816	89.1
1991	0817	91.0
1991	0818	88.0
1991	0819	87.1
1991	0820	82.9
1991	0821	89.1
1991	0822	87.1
1991	0823	88.0
1991	0824	84.9
1991	0825	84.9
1991	0826	90.0
1991	0827	89.1
1991	0828	87.1
1991	0829	86.0
1991	0830	88.0
1991	0831	89.1
